unidade;ano;mes;setor_centro_custo;media_permanencia_setor
CHPB;2025;5;UIP-MASCULINA/CHPB/CHB;21,666666666666668
CHPB;2025;5;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;32,36363636363637
CHPB;2025;6;LAR INCLUSIVO A/CHPB/CHB;6434,0
CHPB;2025;6;UIP-FEMININA/CHPB/CHB;97,0
CHPB;2025;6;UIP-MASCULINA/CHPB/CHB;20,318181818181817
CHPB;2025;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,38095238095238
CHPB;2025;7;UIP-FEMININA/CHPB/CHB;22,285714285714285
CHPB;2025;7;UIP-MASCULINA/CHPB/CHB;29,0
CHPB;2025;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,166666666666668
CHPB;2025;8;UIP-FEMININA/CHPB/CHB;22,333333333333332
CHPB;2025;8;UIP-MASCULINA/CHPB/CHB;21,4
CHPB;2025;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;64,21052631578948
CHPB;2025;9;LAR INCLUSIVO A/CHPB/CHB;2856,0
CHPB;2025;9;UIP-FEMININA/CHPB/CHB;21,4
CHPB;2025;9;UIP-MASCULINA/CHPB/CHB;17,4
CHPB;2025;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,466666666666665
CHPB;2025;10;CAC/CHPB/CHB;23,0
CHPB;2025;10;UIP-FEMININA/CHPB/CHB;24,0
CHPB;2025;10;UIP-MASCULINA/CHPB/CHB;22,058823529411764
CHPB;2025;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,38888888888889
CHPB;2025;11;UIP-FEMININA/CHPB/CHB;16,333333333333332
CHPB;2025;11;UIP-MASCULINA/CHPB/CHB;41,0
CHPB;2025;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;73,2
CHPB;2025;12;UIP-FEMININA/CHPB/CHB;75,0
CHPB;2025;12;UIP-MASCULINA/CHPB/CHB;26,5
CHPB;2025;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;39,57142857142857
CHPB;2026;1;UIP-FEMININA/CHPB/CHB;116,85714285714286
CHPB;2026;1;UIP-MASCULINA/CHPB/CHB;27,36842105263158
CHPB;2026;1;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;45,333333333333336
CHPB;2026;2;CAC/CHPB/CHB;578,5
CHPB;2026;2;LAR INCLUSIVO A/CHPB/CHB;597,0
CHPB;2026;2;UIP-FEMININA/CHPB/CHB;38,6
CHPB;2026;2;UIP-MASCULINA/CHPB/CHB;62,1
